f1-score,precision,recall,support
0.9990973648311138,0.998347869744416,0.999847986108269,171037.0
0.88909426987061,0.9572139303482587,0.8300258843830889,1159.0
0.7346938775510204,0.5950413223140496,0.96,75.0
1.0,1.0,1.0,84992.0
0.9434644957033016,0.9738562091503268,0.9149122807017543,1140.0
0.8576358930112167,0.9539347408829175,0.7789968652037618,638.0
0.035541195476575124,0.02095238095238095,0.11702127659574468,94.0
0.550540368722187,0.800369685767098,0.41957364341085274,1032.0
0.7420289855072464,0.735632183908046,0.7485380116959064,171.0
0.7941176470588236,0.7641509433962265,0.826530612244898,294.0
0.9684287812041116,0.9544138929088278,0.9828614008941878,1342.0
0.8216216216216216,0.76,0.8941176470588236,170.0
0.9951133728027344,0.9951133728027344,0.9951133728027344,0.9951133728027344
0.7780220417131524,0.792826096614379,0.7893688006914407,262144.0
0.9954607494001894,0.9964282915101972,0.9951133728027344,262144.0
